country,year,pop,gdp,gdp.growth,pop.growth,invest,trade
Afghanistan,1970,12430623,858.0139012,-0.001750591,0.02565601,7.63854394,0.276437232
Afghanistan,1975,14132019,850.5365158,-0.011576043,0.013411183,11.52897693,0.265328288
Afghanistan,1980,15112149,802.7048843,0.040244996,-0.018210606,12.15077043,0.258454149
Afghanistan,1985,13796928,981.6276998,-0.06625558,0.012262715,12.37231131,0.258702638
Afghanistan,1990,14669339,704.8141941,-0.090616121,0.070620622,12.17380857,0.431809356
Afghanistan,1995,20881480,448.0270493,-0.031452189,0.026988083,20.02241653,0.858435668
Afghanistan,2000,23898198,382.8306269,0.110883186,0.045004883,25.68076172,1.113532061
Albania,1970,2156612,2464.827745,0.01787464,0.021478365,44.86856327,0.447414608
Albania,1975,2401108,2695.261207,0.017759239,0.021335375,45.42160963,0.446635586
Albania,1980,2671412,2945.537518,0.001280103,0.020293119,45.30491022,0.411283413
Albania,1985,2956697,2964.450944,-0.010659211,0.018964317,41.8821093,0.335285663
Albania,1990,3250778,2810.593804,-0.005074096,-0.005791087,21.32348071,0.599897562
Albania,1995,3158000,2740.184619,0.050086853,0,20.32096629,0.452304801
Albania,2000,3158000,3519.994982,0.071409421,-0.008605565,27.18228611,0.61816656
Algeria,1960,10909294,4077.184004,-0.037759086,0.018442215,45.99346029,0.715227016
Algeria,1965,11963091,3375.728404,0.03512826,0.030470228,32.81940488,0.464632265
Algeria,1970,13931846,4023.903385,0.001938774,0.029427795,44.20758285,0.533217486
Algeria,1975,16140252,4063.100266,0.034549957,0.030572587,53.21311295,0.69579364
Algeria,1980,18806061,4829.27368,0.013724185,0.031449452,44.45283881,0.585624506
Algeria,1985,22008450,5172.297623,-0.008365253,0.026200862,43.11415746,0.371812658
Algeria,1990,25089032,4960.421612,-0.01878951,0.022590513,37.0398666,0.485995998
Algeria,1995,28089149,4515.623134,0.017635414,0.016004043,33.11186461,0.5192077
Algeria,2000,30429227,4931.880046,0.035764071,0.013540711,31.37451805,0.619847454
Angola,1970,5605626,2449.266093,0.013221387,0.009742663,19.70928473,0.77569594
Angola,1975,5885455,2616.651275,-0.045284893,0.027206548,20.02653175,0.775400433
Angola,1980,6743080,2086.46427,0.003294531,0.023523491,19.50827424,0.782320506
Angola,1985,7584709,2121.118515,0.021161716,0.017942454,11.72011504,0.569997304
Angola,1990,8296606,2357.854588,-0.033309027,0.025379115,26.66870195,1.000566024
Angola,1995,9419124,1996.123394,0.031349784,0.019375092,38.64939304,1.503661637
Angola,2000,10377267,2334.869301,0.05721691,0.024113095,17.53766794,1.391954882
Argentina,1950,17150336,5421.864916,0.009509499,0.019723017,18.67703619,0.107121326
Argentina,1955,18927821,5685.888096,0.018686878,0.017087012,18.10388245,0.141028199
Argentina,1960,20616009,6242.755804,0.019192625,0.015552127,22.56861418,0.138031311
Argentina,1965,22283100,6871.516655,0.025597433,0.014530752,21.45716242,0.131033553
Argentina,1970,23962313,7809.74264,0.008877265,0.016951703,23.33182671,0.171070054
Argentina,1975,26081880,8164.196686,0.011273818,0.016816869,26.46530395,0.187766472
Argentina,1980,28369799,8637.622994,-0.033820605,0.015603433,21.8115244,0.137539204
Argentina,1985,30671759,7293.798047,-0.013350426,0.014848555,18.24822695,0.166829173
Argentina,1990,33035578,6822.815911,0.04578713,0.013111325,19.16954285,0.155824337
Argentina,1995,35273844,8578.061233,0.013388272,0.011361398,21.98992608,0.218644262
Argentina,2000,37335653,9171.94421,0.016781163,0.009649976,16.96690471,0.336442527
Armenia,1993,3231570,1585.644489,0.069495813,-0.011621242,15.27840585,0.935734912
Armenia,1998,3049147,2244.471332,0.091439195,-0.003135817,14.57150855,0.725398824
Armenia,2003,3001712,3545.453153,0.096491951,-0.002191519,21.40285619,0.680428106
Australia,1950,8267337,11302.82052,0.016760512,0.023047029,22.26009013,0.37041261
Australia,1955,9277087,12290.84722,0.012994935,0.022105502,22.12575382,0.280589639
Australia,1960,10361273,13115.95636,0.029945319,0.019797407,24.0741517,0.276935593
Australia,1965,11439384,15234.40152,0.03519121,0.020279583,25.19418615,0.266014959
